Name,Organization,Project
Pranjal Aswani,CHAOSS: Community Health Analytics Open Source Software,Reporting of CHAOSS Metrics: Refactoring the existing code and extending the capabilities of the Manuscripts Project
Harisu Fanyui,OpenMRS,RESET PASSWORD VIA EMAIL PROJECT
CVN Prajwal,Performance Co-Pilot,RESP (Redis) support in pmproxy
Daniel Silva,LibreOffice,Revamp Print Dialog
Sergio Alberti,Debian Project,Reverse Engineering Radiator Bluetooth Thermovalves
Pranav Garg,Ruby Science Foundation,Rewriting matplotlib in a language-independent form and expose it to Ruby.
Nitish Bansal,Oppia Foundation,Rich Text Editor Upgrade
rishz,AOSSIE - Australian Open Source Software Innovation and Education,Rishabh Shukla's proposal
Ignasi Montero Serra,R project for statistical computing,"rOceans: an R Package for integrating spatial trends in biodiversity, human stressors, and conservation efforts"
José Renan,Rocket.Chat,Rocket.Chat SDK for Javascript Clients
Ashwin Samudre,CERN-HSF,ROOT package manager
Aaditya Saraiya,Open Source Robotics Foundation,ROS Package for Robot Work Cell Discovery
Dries Cornilly,R project for statistical computing,rTrawl
Arafat Dad Khan,Ruby Science Foundation,Ruby Matplotlib
Asket Agarwal,CERN-HSF,Rucio : Billion-row scalable and flexible metadata
Sergio Paniego Blanco,JdeRobot - Universidad Rey Juan Carlos,Running a Python application on an educational robot with an Arduino microprocessor built-in
Burhan Ul Tayyab,Red Hen Lab,Russian Ticker Tape OCR
Kumaranath Fernando,The Mifos Initiative,Scalability & Performance Enhancements
Aditya Bharti,Python Software Foundation,Scipy: Rotation formalism in 3 dimensions
Dmitri Ovodok,MuseScore,Score Comparison Tool for MuseScore
Viral Mehta,Python Software Foundation,Scrapinghub: Scrapy - Spider Auto Repair
Chau Tung Lam Nguyen,Python Software Foundation,Scrapy performance improvement
Douglas Liu,ScummVM,ScummVM GSoC Application: Improve the Stark Engine
B Krishnan Iyer,Haiku,SDHCI MMC Driver
Chen Jingpiao,strace,seccomp-assisted syscall filtering
Examin,JBoss Community,Security Vulnerability Tracking Tool.
Alexander Rossa,"CLiPS, University of Antwerp","Seed, Context-Free Generation and Twitter Bots"
Anant Joshi,The Honeynet Project,Semi-automated DroidBot: Semi-automated Android UI testing
Maja_Gwozdz,"CLiPS, University of Antwerp",Sentiment analysis of figurative language in political tweets
Sumedhe Dissanayake,Sustainable Computing Research Group (SCoRe),SenZ Switch
Assain KC,Ruby on Rails,Server Timing Middleware & GSoC’17 - Refactor Rails’ Cookie Implementation & Improve Signing With Expiry & Purpose - Continuation
Peter Hrvola,Mozilla,Servo: Prototype ways of splitting up the script crate
vipulgupta2048,Sugar Labs,Setting up of Activity Server and WikiPort (Activity Migration)
Mua Ndzo Laurent,LibreHealth,Setup Improvement for LibreHealth EHR
Saurabh Srivastava,FOSSASIA,Show loklak search results as auto-refreshing media wall and add support for Twitter-Api
Yaghyavardhan Singh,Boost C++ Libraries,Similarity between geometries
Sarbjit Singh,Global Alliance for Genomics and Health,Simplify usage of VCF validation suite
Shalin,National Resource for Network Biology (NRNB),Simulating systems biology models in Java
Benjamin Landers,BRL-CAD,Slic3r - Rotating Face to Bottom
Vasudha Varadarajan,CGAL Project,Smooth Surface Reconstruction
Viswak Hanumanth G K,The Honeynet Project,SNARE/TANNER
Sagarpreet Chadha,Public Lab,Social Media Integration and Leaflet Environmental-Layers Library .
Máté Eckl,Netfilter project,Socket match and transparent proxy support implementation in nftables
Gopalakrishnan V,GFOSS - Open Technologies Alliance,Software Components and IP management
Lachlan Sneff,Mozilla,Software-Isolated WASM Processes in Ring 0
Yathartha Anirudh Joshi,SymPy,Solvers: Completing Solveset
Kefan Yang,PostgreSQL,Sorting Algorithms Benchmark and Implementation
Piyush Singhal,Sustainable Computing Research Group (SCoRe),Soundcom(React-native-app)
Leo Verto,MetaBrainz Foundation Inc.,SpamBrainz - Fighting spam with machine learning
Mayur Bhosale,CERN-HSF,Spark3D: Extend Apache Spark to support 3D Spatial Datasets
Marlon E. Cobos,R project for statistical computing,Species range maps in R
Tong ZHAO,CGAL Project,Spectral Surface Reconstruction
Matthew C. Kelley,NumFOCUS,Speech recognition for the Flux model zoo
pvgupta24,Jitsi,Speech-to-Text with Translation
Karan Bedi,Rocket.Chat,Speech2Text Engine & Voice Recognition API Integration
Nizar Benshaqi,The NetBSD Foundation,SQL Database for ATF tests results with online query and statistics page
Nandun Bandara,Sustainable Computing Research Group (SCoRe),Stackle - Frontend Functionality and User Interface Improvements
Shivam Arora,Sustainable Computing Research Group (SCoRe),Stackle-Structure Routes
Matthew Stewart,ScummVM,Star Trek Engine
Mehtab Zafar,XBMC Foundation,Static code analysis in Kodi's addon-check tool
