Name,Organization,Project
Naruki Yoshikawa,Open Chemistry,"Fast, Efficient Fragment-Based Coordinate Generation"
David Tellenbach,CERN-HSF,Faster Matrix Algebra for ATLAS
Anna Philips,Fedora Project,Fedora Happiness Packets
Christian Glombek,Fedora Project,Fedora IoT: Atomic Host Upgrade Daemon
Tanvi Dadu,Wikimedia Foundation,"Feedback on how pictures uploaded to Commons get used: statistics, barnstars, light gamification"
klaxa,FFmpeg,FFserver replacement
Eunice Amoh,OpenMRS,FHIR Swagger Codegen Integration and Strategic Improvements
scholtzan,Xi Editor Project,Find Enhancements
Mohak Puri,The Mifos Initiative,Fineract CN Mobile 2.0
Dilpreet Singh,Apache Software Foundation,Fineract CN Mobile 2.0
Graham,Apache Software Foundation,Fineract CN SMS & Email Notifications
Maria Ioanna Spyrakou,aimacode,Finish aima-python algorithms
Aman Deep Singh,aimacode,Finish AIMA-Python algorithms and add explanatory notebooks
Ovsyannikov Alexey,XWiki,Finish and improve Android XWiki authenticator and contact synchronization
Caio Jordão Carvalho,KDE Community,Finish LVM support and implement RAID support in KDE Partition Manager and Calamares
Jiasheng Zhu,R project for statistical computing,Firedata - Enabling easy cloud stats through Firestore
Paul,R project for statistical computing,Firedata - Implementing Web Functionalities for Shiny and OpenCPU
Ruxandra Simion,GNOME,Five or More: Modernisation
VAISHNAV M.A,BeagleBoard.org Foundation,Fixing Bugs in BoneScript and Improve BeagleBone UI
An T. Le,Institute for Artificial Intelligence,Flexible perception pipeline manipulation for RoboSherlock
Neethu Mariya Joy,NumFOCUS,FluxJS Demos
Ákos Hadnagy,Free and Open Source Silicon Foundation,Formal verification of WARP-V processor
Rahul Vyas,Apertus Association,FPGA-realtime focus peaking
Claude Balaguer,Apertium,Fra-oci/oci-fra translator
Eisha CHEN-YEN-SU,GNOME,Fractal UI redesign and new dialogs
Enkelena Haxhija,Debian Project,Free Software Habits - Firefox extension
Kurt Kremitzki,BRL-CAD,FreeCAD Configuration Management Project
Fernando García Álvarez,Mozilla,Fretboard: A/B Testing Framework for Android
Sarthak Sehgal,Open Bioinformatics Foundation,Frontend Website Student Project for BioJS
Luis Damiano,R project for statistical computing,Full Bayesian Inference for Hidden Markov Models
gibix,Gentoo Foundation,Full rust support
Sanjeet Bhatti,OSGeo,Full support of Python 3 in GRASS GIS
Luke Lau,Haskell.org,Functional test framework for the Haskell IDE Engine and Language Server Protocol Library
Geraldine Chua,Blender Foundation,Further Development for Cycles' Volume Rendering
Siarhei Shalyhaila,MovingBlocks,Game / saved world / module preview image content
Ajay NS,Plone,GatsbyJS Integration with Plone
Akash Kumar Singh,RoboComp,Gazebo-RoboComp Integration
Dima Savin,CERN-HSF,GDML I/O for VecGeom Geometry Package
Paritosh Sharma,Godot Engine,GearVR and Daydream Support
Yuze Zhou,R project for statistical computing,GEE and QIF for clustered data regression
Lakshya arora,phpMyAdmin,General Improvements
Shaddy Garg,OWASP Foundation,General Improvements and Bug Fixes for OWASP-Nettacker
Thien Hoang,CGAL Project,Generalized Region Growing
Nithesh N. Hariharan,Oppia Foundation,Generalized Review System
Ahmet Tanakol,The Eclipse Foundation,Generating JSON Editors based on JSON Schema
Maria Bohórquez,RoboComp,"Generation of new use cases, tutorials and reference information for RoboComp"
Anushree Rankawat,CERN-HSF,Generative Adversarial Networks for Particle Physics Applications
Anumeha Agrawal,Systers Community,GH Pages for Systers
Baani Leen Kaur Jolly,Systers Community,Github Pages
Evan Welsh,GNOME,GJS Example Applications and Overall Improvement
Izza Tariq,The Processing Foundation,GLSL Editor for PDE
Saurabh Sabharwal,GNOME,GNOME Games: Add Collection/Developer view
Tatiana Sholokhova,GNU Project,GNU Guix (Cuirass): Adding a web interface similar to the Hydra web interface
Shivam Kohli,GNU Project,GNU Taler - Payment/Donation Buttons and Code-less Payments with GNU Taler
Phil Buschmann,GNU Project,GNUnet Web-based User Interface
Riya Lohia,Sugar Labs,Going Beyond Equal Temperament in Music Blocks
Varun Chitre,AOSSIE - Australian Open Source Software Innovation and Education,Google Assistant Action for CarbonFootPrint
Gajendra Tanwar,Catrobat,Google blockly integration to catrobat project
Pietro Tirenna,The Honeynet Project,Google Protocol Buffers Serialization
Iti Shree,Apertus Association,"Google Summer of Code 2018: Live histogram, waveform, vectorscope"
Aswin G,Zulip,Google Summer of Code Proposal to improve Zulip Mobile
Shreyas Iyer,MovingBlocks,GooKeeper Implementation
Carlos Muñoz,Apache Software Foundation,GORA-535 Add a data store for Apache Ignite
Chris Karageorg Kaneen,GFOSS - Open Technologies Alliance,Government Gazette NER & Metadata Extraction
Marios Papachristou,GFOSS - Open Technologies Alliance,"Government Gazette text mining, cross linking, and codification Project - 3gm"
Swapnil Negi,GNU Radio,gr-modtool overhaul
Sameer Sengar,Cuneiform Digital Library Initiative,Granular Temporal Data Management
Daniyal,National Resource for Network Biology (NRNB),GraphSpace: Git for graphs
Roberta Fagandini,OSGeo,GRASS GIS module for Sentinel-2 cloud and shadow detection
Ruphine Kengne,Apache Software Foundation,Group Loan Management Service
Ravicharan Nudurupati,SymPy,Group Theory
Saif Abdul Cassim,Debian Project,GSoC 2018 Android SDK tools in debian
Alkis Georgopoulos,GFOSS - Open Technologies Alliance,GSoC Epoptes Proposal
Raghav Puri,AOSSIE - Australian Open Source Software Innovation and Education,GSoC Proposal for Stardroid (Google Sky Maps)
Sukhbir Singh,Amahi,Gsoc Proposal: Amahi 11
Chathuranga Muthukuda,OpenMRS,GSoC'18 Proposal - OpenMRS Android Client
Danxue Huang,RTEMS Project,GSOC2018_Huang_RTEMS Release Notes Generator
Eeshan Gupta,NumFOCUS,Guaranteed Root Finding and Global Optimization with Intervals
Abhinav Kumar,CERN-HSF,HAhRD: DeepReconstruction
Girish Ramesh,appleseedhq,Hair Rendering II - Hair shader and binary format
elgin,The Processing Foundation,"Hello, is it me you’re looking for? updating hello.p5js.org"
Alexis Williams,Haskell.org,Helping cabal new-build become just cabal build
Simon Jakobi,Haskell.org,Hi Haddock
Jitian Deng,Eta,High Performance Web Server with Fibers
Teodor Niculescu,MariaDB Foundation,Histograms with equal-width bins Project
Vlad Florea,The Honeynet Project,Honeypot Detection Tool
Jakub Golinowski,STE||AR Group,HPX Backend for OpenCV
Princi Vershwal,OpenStreetMap,iD Editor : Support for vector tile data
Fotios Tsalampounis,Internet Archive,Idea 5 - Integrate the “Scanner” software into the Wayback Machine
Lakshay Bandlish,The Linux Foundation,Idea: Enhancements for ipptool
Shriyanshagro,Plone,IFTTT plugin for Plone
Himanshu Jha,The Linux Foundation,IIO Driver Project (Bosch BME680)
tech4gt,Public Lab,Image Sequencer v2
Kesh101,Sustainable Computing Research Group (SCoRe),ImageLab
Skand Vishwanath Peri,Open Chemistry,Imaging Tools
Ritiek Malhotra,OpenAstronomy,Implement a new Plasma metaclass in PlasmaPy
Yuanjie Jiang,NumFOCUS,Implement a Plug Flow Reactor Model with Surface Chemistry
Chijun Sima,LLVM Compiler Infrastructure,Implement a single updater class for Dominators
OddCN,Sustainable Computing Research Group (SCoRe),Implement Ali cloud Provider support and Rackspace Provider support for GoCloud
Yap Boon Peng,BeeWare Project,Implement asyncio support in voc
Rahul Bothra,Sugar Labs,Implement cross version Python support for Sugar
Xuri Gong,OSGeo,Implement Geospatial Data Viewer in pgAdmin4 for PostGIS
Vamshi Krishna,coala,Implement GitMate automations and plugins for coala
Vikas Mahato,LibreOffice,Implement interface for external data source import into Calc
Aditya Pratap Singh,OSGeo,Implement Minimum Spanning Tree and Min-Cut for pgRouting by the Boost Graph Library.
Maoguang Wang,OSGeo,Implement Minimum-cost flow Algorithm by the Boost Graph Library and Chinese Postman Problem for pgRouting
ffmancera,Netfilter project,Implement missing features in nftables
PHUONG HAO NGUYEN THI,Apache Software Foundation,Implement OGC Catalog Service for the Web(CSW)
Sourabh Garg,OSGeo,Implement Parallel Dijkstra’s and Bellman-Ford algorithm by the Parallel BGL
Yan Cui,PostgreSQL,implement pg_thrift plugin for postgreSQL
Aditya Manglik,GNOME,Implement power panel in gnome-usage
Jae Hyeon Park,Apache Software Foundation,Implement RESTful API and web ui interface in Nemo
Vineeth Chelur,National Resource for Network Biology (NRNB),Implement SBML Array Support in libRoadRunner
Yash D. Saraf,LibreHealth,Implement Spring Data to LH Toolkit
Prashadi Bandara,LibreHealth,Implement Spring Data to the LibreHealth Toolkit
Edgar Garriga Nogales,Open Bioinformatics Foundation,Implement the support for Research Object specification into Nextflow framework
Christian Krämer,FreeBSD,Implementation of a user space interface for GPIO interrupts
WenYing Dai,The ns-3 Network Simulator Project,Implementation of AccECN and ECN++ in ns-3
Ebin Philip,ArduPilot,Implementation of Balance Bot with Ardupilot
Shingo Kitagawa,Institute for Artificial Intelligence,Implementation of Deep Learning Annotators written in Python into RoboSherlock
Jessica Dafflon,INCF,Implementation of Two Neural Mass Models on the Open Source Brain Platform
L. E. Segovia (amyspark),Blender Foundation,Implementing a Hair Shader for Cycles
Alexander Lyon,VideoLAN,Implementing an AirPlay Render Target Module for VLC
Prashant Kumar Prajapati,Boston University / XIA,Implementing blackholing in Gatekeeper
Sudhanshu Vishnoi,Mozilla,Implementing cross references and general improvements in ReSpec
Lauri Nyman,NumFOCUS,Implementing Eigenvalue Problem Solvers for Sparse Matrices in Julia
Shikhar Jaiswal,mlpack,Implementing Essential Deep Learning Modules
Sergio Esteves,Apache Software Foundation,Implementing integration plugins in RocketMQ for HBase and Beam
Siddharth,The NetBSD Foundation,Implementing Kernel Address Sanitizer (KASan) in the NetBSD kernel
Xinquan Wu,Python Software Foundation,Implementing multi-thread capacities for nonrigid registration in DIPY using OpenMP
Kunal Sharma,Open Chemistry,Implementing new parsers
Vibhav Pant,Boston University / XIA,Implementing NWP - an address resolution protocol for XIA.
Davide Cruz,NumFOCUS,Implementing on-the-fly coordinate transformations
Dhruv Batheja,CloudCV,Implementing python package and new features for EvalAI
Dileep Sankhla,KDE Community,Implementing the FreeText annotation with FreeTextTypewriter behavior
Aakash Deep,AerospaceResearch.net,Implementing Two-Line Element (TLE) Input / Output and using it for evaluation
CapacitorSet,The Honeynet Project,Implementing Yara rules in Honeytrap
Vukašin Karadžić,The Libreswan Project,"Implementing “Group Key Management using IKEv2” IETF draft, RFC 5685 - “Redirect Mechanism for IKEv2” and/or RFC 5723 - “IKEv2 Session Resumption”"
Jeevan Prakash,Inclusive Design Institute,Import external data to MyL3
Pratyush Yadav,FreeBSD,Import the Xen grant-table bus_dma(9) handlers from OpenBSD
kapilkd13,INCF,Importing NeuroML morphologies into Brian
Bhavesh Anand,FOSSASIA,Improve automatic import of events with enhancement of event analytics and addition of machine learning capabilities for Big data services and search in Open Event Server
Markus Reiter,Homebrew,Improve Cask Integration
Stjepan Brkić,GNU Project,Improve Core Animation implementation and integrate it into AppKit
Vijay Kumar Banerjee,RTEMS Project,Improve Coverage Analysis Toolset
Prssanna Desai,Wikimedia Foundation,Improve Data Explorer on query.wikidata.org
gramanas,LLVM Compiler Infrastructure,Improve Debugging of Optimized Code
Vipin Singh,CloudCV,Improve Demo creation in Origami
fristonio,CloudCV,Improve Demo creation in Origami
Ayush Suhane,NumFOCUS,Improve Distance Search Methods in MDAnalysis
Neha Gupta,XWiki,Improve DokuWiki importer
Khushil Mistry,Mozilla,Improve Enigmail User Experience
Anton Vasilyev,The Linux Foundation,Improve environment model for memory safety verification of the Linux kernel and find bugs related to the memory errors in Linux kernel
Pradeep Gangwar,FOSSASIA,"Improve Experience of Ticketing and Subtickets, Develop a Venue Custom Map and Enhance Organizer Features"
Amitosh Swain Mahapatra,Fedora Project,Improve Fedora Android App - Backend
Abhishek Sharma,Fedora Project,Improve Fedora Android App - UI/UX Research and Design
Sangeet Kumar Mishra,Python Software Foundation,Improve Functionality of hg grep | PSF | Mercurial
Armin Hasitzka,FreeType,Improve Fuzzing for FreeType
Saksham Bansal,coala,Improve Installation of coala and coala-bears
tmplt,CERN-HSF,Improve multi-threading support for CERN’s Allpix-Squared project using dependency graphs
Anurag Kumar,Joomla!,Improve Override Management
AnkushMalik,openSUSE,Improve people collaboration in the Hackweek tool
Sophia Mersmann,Open Bioinformatics Foundation,Improve Posterior Error Probability Estimation For Peptide Search Engine Results
Shubham Dhama,Zulip,Improve settings subsystem and add new features.
rubencm,phpBB Forum Software,Improve storage service
Abhishek  Singh,NumFOCUS,Improve Test Coverage and Test Performance
Harsh Patel,FOSSASIA,Improve the Android Science App for PSLab
Nikhil-nk,Wikimedia Foundation,Improve the Cargo Special:Drilldown page
kecsap,KDE Community,Improve the desktop and the Android version of KStars
Julian Sparber,GNOME,Improve the Fractal UI (A GTK Matrix client)
Mikael Mello,Rocket.Chat,Improve the integration of bots on Rocket.Chat
Siddharth Sharma,Kiwix,Improve the Kiwix Android app’s CI setup and increase the code coverage
Sandip Kumar Bhuyan,Free and Open Source Silicon Foundation,Improve the LibreCores.org in terms of discoverability
Nayan Deshmukh,X.org Foundation,Improve the Linux/DRM GPU scheduler to feed one entity into multiple run queues
Saurabh Shah,CCExtractor Development,Improve the OCR subsystem
Utkarsh Maheshwari,Neovim,Improve UI protocol/API to facilitate consistent GUIs in embedding applications
Liam Burke,PEcAn Project,Improve User Interface of the Data Ingest Workflow in PEcAn
Rahul Jha (~RJ722),coala,Improve Whitelisting infrastructure for Vulture
Dũng Lê,Xi Editor Project,Improve Xi-Mac’s UI and polish its core editing experience
Jeyasumangala R,OpenMRS,Improved Built-In Reports module
ydidwania,Mozilla,Improved Pulse Inspector Backend
Souvik Sen,The Vega Visualization Tools by the UW Interactive Data Lab,Improvement and Extension of Data Transforms in Vega-Lite
Raghavendra Vedula,AOSSIE - Australian Open Source Software Innovation and Education,Improvement of CO2 emission API
Salil Jain,Berkman Klein Center for Internet & Society at Harvard University,Improvements and Addition of new features in the question tool
Jiawei Li,NumFOCUS,Improvements for JuliaNLSolvers
Ahmet Çandıroğlu,National Resource for Network Biology (NRNB),"Improvements for Newt, a Cytoscape.js based SBGN editor"
Neha Jha,Wikimedia Foundation,Improvements for the Toolforge 'webservice' command
Shubham Padia,Zulip,Improvements related to the search area.
Mayank Vaidya,FOSSASIA,Improvements To FOSSASIA’s Open Event Server and Android
Andreas Klebinger,Haskell.org,Improvements to GHC's handling of conditionals.
Kshitij Pathania,LibreOffice,Improvements to Notebookbar
Sahil Arora,The Linux Foundation,Improving bannertopdf filter to use QPDF instead of Poppler APIs
Vinay  Sharma,JdeRobot - Universidad Rey Juan Carlos,Improving DetectionSuite to support more datasets and Frameworks with Segmentation Tools
Arthur Del Esposte,Debian Project,Improving Distro Tracker to better support Debian teams
Anna Kondratjeva,Apertium,Improving language pairs by mining MediaWiki Content Translation postedits
sdhand,Conversations.im,Improving OMEMO support in dino: Blind trust before verification and encrypted groupchats
Adil Rabbani,The Processing Foundation,Improving p5.js WebGL/3D mode
Eliott Teissonniere,Metasploit,Improving post exploitation features on POSIX systems
Akash Vaish,SymPy,Improving Probability and Random Processes
Nikita Astrakhantsev,OpenAstronomy,Improving propagators and perturbations account in Poliastro
caen,BRL-CAD,Improving raytracing performance by improving libbu
Gonçalo Tomás,Beam Community,Improving Riak testing suites using Common Test and Intercepts
Apoorv Choubey,LibreHealth,Improving the Calendar system in LibreHealth EHR
Apurv Bajaj,Oppia Foundation,Improving the development workflow
Abhiroop Sarkar,Haskell.org,Improving the GHC code generator
Araceli Vega Magro,RoboComp,Improving the Human-centered Robot Navigation Agent
Rahul Dhawan,Metasploit,Improving the Post-exploit / Meterpreter functionality
Neil Moon,MovingBlocks,Improving the Server Facade
Pushkal Katara,JdeRobot - Universidad Rey Juan Carlos,Improving VisualStates Tool
Ria Bhatia,Inclusive Design Institute,Inclusively Design & Build a Game for Kids
Sushobhana Patra,OpenAstronomy,"Incorporating FITS Region, CRTF I/O and improving Regions."
gaurav rakheja,Quill.org,Increasing Backend Test Coverage
Nhat Dinh,Checker Framework,Index Checker case study on Google Guava library. Fix bugs and improve its error messages.
Monal Shadi,Systers Community,Infrastructure and Automation of Web projects in Python.
Anamika Tripathi,Systers Community,Infrastructure/Automation-Android
Shubham Shukla,NumFOCUS,Inside the Black Box
Tushar Gurjar,Submitty,Instructor Interface for Plagiarism Detection
Anirudh Singh,LibreHealth,Integrate an open source Laboratory Information Management System
Ayush Gupta,FOSSASIA,Integrate app as microservice and implement the interaction and sharing features
Jian Liu,Cloud Native Computing Foundation (CNCF),Integrate Containerd with Katacontainers
Agrim Mittal,Ruby,Integrate functionality from bun
Yang Zheng,The NetBSD Foundation,Integrate libFuzzer With the Basesystem
Karan Kotabagi,Apache Software Foundation,Integrate NextCloud for Apache Airavata's Data Transfer Use Cases
Thomas S,Catrobat,Integrate Pocket Paint into Pocket Code
Ankit Joshi,coala,Integrate pyflakes-enhanced AST into coala
Prem Prakash Singh,National Resource for Network Biology (NRNB),Integrating CAD and CAM tools for automating a synthetic biology workflow
Dmitry Volynkin,Stemformatics,Integrating ISCANDAR
Yatharth Rai,OpenAstronomy,Integrating Physical Units into HelioPy
Parth Wazurkar,FreeType,Integrating VFlib's TeX format drivers into FreeType
Viresh Gupta,coala,Integration of ANTLRv4 into coala core
Semih Serhat Karakaya,Rocket.Chat,Integration of Nextcloud/ownCloud as Storage and User File Provider
Sanket Gaurav,JSK Robotics Laboratory / The University of Tokyo,Integration of PCL to ROS
zed009,Metasploit,Integration plugin for 3rd party frameworks.
Oleh Kozynets,Python Software Foundation,Interactive 3D visualizations of human brain activity in the Jupyter Notebook using ipyvolume
Vaibhav Aren,Sugar Labs,Interactive Exercises for Turtle Blocks
Erivelton Gualter,GNU Octave,Interactive tool for SISO Linear Control System Design
Tejasav Khattar,Computational Biology @ University of Nebraska-Lincoln,Interactive Web Platform for R based Data Analysis
Adrián Rodríguez Bazaga,InterMine,InterMine Data Browser Tool
Arunan Sugunakumar,InterMine,Intermine Solr deep bio data search
M Naveen Kumar,LabLua,Interrupt-based drivers in Céu-Arduino for microcontrollers
Mohit_Agarwal,XBMC Foundation,Intro/Outro Detection
Thomas Schranz,Catrobat,Introduce Architecture and Separate Components
Clem,libvirt,Introduce Libiscsi pool
Piyush Vijay,phpMyAdmin,Introducing modern JS features and tools
Carmen-Gabriela Popa,Catrobat,iOS: Device Sensors and Code Refactoring
Rithvik Patibandla,The Linux Foundation,IPPDOCLINT Program
Mayya,Internet Systems Consortium,IPv6 Reconfiguration and Renumbering (Multiple IPv6 addresses/prefixes in a single IA)
Benjamin Chu,NumFOCUS,Iterative Hard thresholding for Genetic Analysis
José Alberto Andújar,RoboComp,JavaScript support
Anmol Gautam,KDE Community,JavaScript/QML extension support in Falkon
Ana Jeličić,Computational Biology @ University of Nebraska-Lincoln,Javascript/WebGL Library For Interactive Visualization Of Large-Scale Network Graphs: Expanded Features.
Pham Vu Tuan,Jenkins project,Jenkins Remoting over Message Bus/Queue
Akshit Kr Nagpal,Jitsi,Jitsi Electron App
Olatunbosun Egberinde,Joomla!,Joomla! CLI Update
Aditya Puranik,NumFOCUS,Julia package for Minecraft API
yashagrawal3,Sugar Labs,Just say no to GTK+ 2
Chikirou Massiwayne,Debian Project,Kanban Board for Debian Bug Tracker and CalDAV servers
Vidyadheesha D N,Apertium,Kannada-Marathi language translation
Jerin John,Internet Systems Consortium,Kea Monitoring Dashboard
Fejes Ferenc,freifunk,Kernel space SOCKS proxy for Linux 4.x
Abdul Wadood,Kiwix,Kiwix Android App UX Improvement
Samagra Sharma,aimacode,"Knowledge, Reasoning and Learning"
Björn Veit,Institute for Artificial Intelligence,KnowRob visualization in RobCoG
Tymofii Chudakov,JGraphT,Kolmogorov's Blossom V algorithm for solving minimum weight perfect matching problem in general graphs
Pranjal Paliwal,Xi Editor Project,Language Server Plugin in Xi
Aman Pratap Singh,CERN-HSF,Large-scale computing backend for Jupyter notebooks - HTCondor batch job submission and monitoring using the Ganga toolkit
Mridul Nagpal,Public Lab,Leaflet BLurred Location Part 2
Manan Agarwal,OpenAstronomy,Learn Astropy
Prinshu Kumar,RoboComp,Learnblock (Learnbot programming language) extension for collaborative robotics
Strozzi,phpMyAdmin,Leonardo Strozzi's Application
Sandeep Dubey,Oppia Foundation,Lesson Translation Dashboard
Jakob Löw,GNU Project,libjit - register allocation
Marcos Gutierrez,freifunk,LibreMesh ground routing user friendly interface
Paul Spooren,freifunk,LibreNet6
Muammer Mert Tümer,LibreOffice,LibreOffice Android Viewer
Christos Arvanitis,GFOSS - Open Technologies Alliance,LibreOffice customization and creation of legal Templates for LibreOffice
Ivan Molodetskikh,GNOME,librsvg: port filter effects to Rust
Boddu Manohar Reddy,The Honeynet Project,LibVMI extensions: Bareflank hypervisor support
Hrishabh Rajput,LibreOffice,Listbox separate read values from input values
hello_world_0,GNOME,Liu Jiahui's applicantion for gnome-logs
davidhm,Mixxx DJ Software,Live metadata output
arnav dhamija,ArduPilot,Live Video Improvements For APSync
Manish Kumar,mlpack,LMNN (via Low-Rank optimization) & BoostMetric Implementation
Daniel Dakhno,freifunk,Local Phone App
Suthagar Kailayapathy,OpenMRS,Location Based Access Control
Arya Das,AerospaceResearch.net,Lone Pseudoranger: Orbit position data analysis and interpolation (3D)
jiteshpabla,LuaRocks,LuaRocks-GUI
Parth Verma,Performance Co-Pilot,Mac OS X PCP Installer
Lalit Mohan Sanagavarapu,The Mifos Initiative,Machine Learning Build Model and Predict Module
Animesh Tewari,MuseScore,Machine Learning Dataset for Optical Music Recognition
Soumitra Agarwal,Scilab,Machine learning features in Scilab : An autobiography
Saurabh Batra,CiviCRM LLC,Machine Learning for Fraud Detection
Divyanshu Kumar,Scilab,MacOS 10.13 signed app
2208Abhinav,LibreHealth,Make a module that will handle all the PDF generation requirements of the software autonomously.
Anthony Wang,NumFOCUS,Makie.jl – GSoC 2018 Proposal
Zubin Duggal,Haskell.org,Making GHC Tooling friendly
Aasheesh Tiwari,OSGeo,Making pgRoutingLayer plugin compatible with QGIS 3.0 and Adding GUI support for proposed stable functions which are scheduled for next release.
Erik Englesson,Blender Foundation,Many Light Sampling
Ayush Gaud,ArduPilot,Mapping and Planning for obstacle avoidance
Davis Joseph,Apache Software Foundation,Mapping Criminal Activity
Kaivalya Rawal,Institute for Artificial Intelligence,Markov Logic Networks in Python: PracMLN
Guruprasad Hegde,Xapian Search Engine Library,Math Aware Search for Xapian
Parismita Das,R project for statistical computing,Max Margin Interval Trees
Geetanshu Mathur,Joomla!,Media Manager - Adaptive Images
Isabel Costa,Systers Community,Mentorship System
Manikaran Singh,AOSSIE - Australian Open Source Software Innovation and Education,Mereotopology in Computational philosophy
Samuel Male,OpenMRS,Merge Patient data from Multiple Installations Skip to end of metadata
muh.iqbal.cr,The ns-3 Network Simulator Project,Merging and Improvement of LTE and Wi-Fi Coexistence Module
Boxuan Li,coala,Meta-review
Guillem Lopez Paradis,Performance Co-Pilot,Metadata Label Support for instrumented Applications
Andrei Lascu,Polly Labs,Metamorphic Testing for Math Libraries
wangjie,Mozilla,metricsgraphics - zooming and brushing
Steffen Görtz,QEMU,micro:bit machine type and cortex-m0 support
Daniel Matarov,Godot Engine,MIDI support for Godot Engine
Saksham Handu,The Mifos Initiative,Mifos Mobile - Android App Version 3.0
abhaychawla,The Mifos Initiative,Mifos X Web App
Manish  Kumar,The Mifos Initiative,Mifos-Mobile - App Version 3.0
Dingfan,The Mifos Initiative,Mifos/Fineract Chatbot & Adapter Application
Rudra Sadhu,Sugar Labs,Migration of activity wiki-pages to GitHub (and simultaneously help-activity)
Moritz Luca Schmid,GNU Radio,MIMO basics for GNU Radio
Roman Samoilenko,The Honeynet Project,Mitmproxy improvements
Tommy Clausner,Python Software Foundation,mne.set_volumeAverage(True) - preparing Group level analyses for volumetric data
Ankur Sharma,The Mifos Initiative,Mobile Wallet 2.0
Shreyas Fadnavis,Python Software Foundation,Model Fitting using Microstructure Imaging of Crossing (MIX): DIPY
Ayush Shridhar,NumFOCUS,"Model Import, Export and Computer Vision in Julia"
Anirban Banik,BeagleBoard.org Foundation,Modern Speak and Spell using PocketBeagle
Yao Jie Lim,Ruby on Rails,Modernising Error Pages
Jeanderson Candido,The Java Pathfinder Team,Modernizing the Java PathFinder Build Workflow: Migrating from Ant to Gradle
