Name,Organization,Project
Ram G Athreya,Bpedia,First Chatbot for DBpedia - Ram G Athreya
Paras Chadha,Fmpeg,FITS image encoder and decoder
Pranjal Bhor,he Linux Foundation,Flattening non-static content (like filled forms) in PDF files for printing
Timur Tibeyev,heckstyle,Flexible Suppression model
Luca Conti,BDyn,"Flight Dynamics Module, interaction with Flight Gear"
sebbas,lender Foundation,Fluid guiding and secondary particle systems
Ivan Josa Llovera,iquid Galaxy Project,Fly Over Your Big Data
Mark Rofail,ostgreSQL,Foreign Keys for Array Elements
Shravya K.S.,he ns-3 Network Simulator Project,Framework for TCP Prague simulations in ns-3
Chenzhe Diao,lpack,Frank-Wolfe Algorithm for Sparse Optimization and Regularization of Atom Norms
Thuvarakan,OSSIE - Australian Open Source Software Innovation and Education,Front end for agora
Aditya Adhikary,igmah,"Full-text search of database text and files, enforcing ACLs and search contexts."
Sanchit Sinha,Fmpeg,Fully featured Ambisonic decoder implemented as a filter
Michele Mazzoni,hogun Machine Learning Toolbox,Fundamental Machine Learning Algorithms
Shaleen Jain,ideoLAN,Fuzz testing libVLC with LibFuzzer
Felix Schmoll,en Project,Fuzzing the Xen Hypercall Interface
Shubham Dighe,NCF,G-Node : odML Library and Editor
theawless,NOME,Gamepads and Keyboard Configuration
Nishanth Devarajan,oston University / XIA,Gatekeeper Priority Queue Implementation in the Linux Kernel and tc(8) Userspace
Rachel Slater,"enes, Genomes and Variation",Gene Visualisation in Mixed Reality with Microsoft HoloLens.
Christian Fischer,pen Bioinformatics Foundation,GeneNetwork Genome Browser
Sahith Dambekodi,MU Sphinx,General Computer-Assisted Learning including Speaking Skills
Ketan Gupta,iled,General Improvements and Bug Fixes for Tiled
Bianca Nenciu,iscourse,General improvements to Discourse
Aleksandr Bezzubikov,EMU,Generic PCIE-PCI bridge
jtatia,penMRS,Generic Tagging Mechanism
Chinmaya Pancholi,umFOCUS,Gensim : Gensim integration with scikit-learn and Keras
Christo Kotsi,entoo Foundation,Gentoo Stateless Environment
Gerard Rovira Sánchez,hysical Web Project,Geographical Memories
Jan-Tarek Butt,reifunk,geolocator (Software defined GPS)
Rachit Kansal,"rban Energy Systems Laboratory, Empa",GIS Interface for Energy Hub and Network Definitions
Anna Buhman,oftware Product Data Exchange (SPDX),GitHub Integration Proposal
Rajat Patwa,ozilla,GitHub Issue Parser
P. Seetarama Raju,ugar Labs,Giving Sugar Labs Website a New Look
Siddhartha Sarkar,ikimedia Foundation,Glam2Commons (previously Single Image Batch Upload)
M Bilal Arif,he Honeynet Project,Glutton Enhancement
Yash Singh,NOME,GNOME Calendar: Add support to recurrent events
Kai Lüke,NOME,GNOME Disks: Resize and repair filesystems
Rareș Visalom,NOME,Gnome-shell UX Tweaks
theiostream,he GNU Project,GNUstep - Make WebCore run on top of GNUstep
Mikhail Ivchenko,DE,Go Language support in KDevelop
Pratik Dhanave,ustainable Computing Research Group ( SCoRe ),Gocloud
Marco Domingues,RL-CAD,GPU Boolean Evaluation for CSG Ray-Tracing
Evgenii Zheltonozhskii,penCV,GPU enabled deep learning framework
Micky,NCF,GPU implementations for MOOSE
Kartik Patel,NU Radio,gr-bokehgui: A Web based GUI for GNU Radio applications
Mayank_Kumar,oboComp,Graphic Deployment Tool
Xia Zhang, project for statistical computing,Graphical Models for Mixed Multi Modal Data
Usman Haider,NSS-SDR,Graphical User Interface for GNSS-SDR configuration
Zechariah Krautwurst,SGeo,GRASS GIS Locations Created From Public Data
Valeriia Gladkova,ymPy,"Group Theory: Subgroups, Homomorphisms and Presentations"
Konstantin Sidorov,lpack,"GSoC '17 ""Augmented RNNs"" project proposal"
Sudhanshu Gautam,rupal,"GSoC 2017 Project: Port ""Vote up/down"" module to Drupal 8"
Kushal K S V S,he FreeType Project,GSoC 2017 Proposal - Kushal
Michele Ginesi,NU Octave,GSoC 2017: Make specfuns special again
Saurabh Gupta,lpack,GSoC-2017: Build testing with Docker and VMs
Sejal Khatri,ikimedia Foundation,GSoC17 Proposal to provide enhanced usability for Wikimedia Programs & Events Dashboard managed by Wiki Education foundation.
Ruoyun Jing,oost C++ Libraries,GSoC2017 Boost.Geometry:Filtering of compare distance predicates Proposal
Mandy Wang,edora Project,GSOC: Migrate Plinth to Fedora Server
Raghavender Sahdev,obile Robot Programming Toolkit (MRPT),GUI app to benchmark image feature detectors and descriptors
reepca,he GNU Project,Guix rewrite build daemon in Guile Scheme
Dorisz Albrecht,he Julia Language,Hamiltonian Approximate Bayesian Computation
Vasudha Varadarajan,he CGAL Project,Hexahedral mesh extraction
Adeel Ahmad,penAstronomy,HiPS client for Python
Christian von Pentz,he Honeynet Project,Holmes Framework to Automate Advanced Analytics
Connie Nguyen,"ysters, an Anita Borg Institute community",Hoppers App - iOS
Divya Pandilla,"ysters, an Anita Borg Institute community",Hoppers-app Android
Vipin Raj KP,hysical Web Project,Hospital Routing using Physical Web Beacons
Shlok Srivastava,penSUSE,Hosted Version of OSEM
thundergroudon,TE||AR Group,HPXCL – Asynchronous Integration of CUDA and OpenCL to HPX
wintersw,atrobat,HTML5: Physics Engine
xadahiya,ython Software Foundation,Hydrus and a Simulation to demonstrate the capabilities of the Hydra Draft
Chris Andrew,ython Software Foundation,Hydrus: A Hydra based server and ‘smart’ client to demonstrate the Hydra draft
Sergio Gómez Del Real,EMU,Hypervisor.framework Support for QEMU
Aarón Montoya-Moraga,he Processing Foundation,i18n for Processing and p5.js
Janak Raj Chadha,nvironmental Data And Governance Initiative,Identifying and prioritizing important website changes using learning algorithms
vaida,ulip,Illustration & Web Design Project
Sarjak Thakkar,he Processing Foundation,Image Processing Library to ease differentiation of colors for Color Blind People
Siddharth Yadav,NCF,Image processing with ImageJ (segmentation of high-resolution images)
Animesh Kashyap,he Julia Language,Image Segmentation
Tejus Gupta,he Julia Language,Image Segmentation and HOG features
Ahmed Samir Hamed-1,RL-CAD,Implement 3MF read/write
Saurav Sachidanand,erformance Co-Pilot,Implement a PCP Instrumentation API in Rust
Dixit Patel,BioPortal for Cancer Genomics,Implement a Pipeline to Extract and Transform GDC Data
Fabian Orccon,NOME,Implement a Plugin System in Pitivi and a set of plugins
Nishadi Kirielle,pache Software Foundation,Implement Aerospike Datastore
Nikos Patikas,pen Bioinformatics Foundation,Implement algorithms for the generation of high-resolution isotope patterns
Maoguang Wang,SGeo,Implement Connected Components Algorithms for pgRouting by the Boost Graph Library
Guodong Xu,ational Resource for Network Biology (NRNB),Implement GeneMANIA in Julia for High-performance Computing
Shubham Padia,OSSASIA,Implement json-api spec compliant API for Open Event Server
Ivan Bestvina,ational Resource for Network Biology (NRNB),Implement Network Quantity Information measure in CentiScaPe #64
Valentina Makarova,Virt,Implement oVirt integration tests using Lago
Aleksas Pantechovskis,ibreOffice,Implement QuarkXPress import filter
Mayank Totale,he Libreswan Project,Implement TCP Encapsulation of IKE and IPsec Packets
Alexander Jones,ikimedia Foundation,Implement Thanks support in Pywikibot
Chipe1,imacode,Implementation and Visualization of algorithms
vitsalis,pen Technologies Alliance - GFOSS,Implementation of a New Re-encryption Mix-net for Zeus
Sandeep Mahapatra,ational Resource for Network Biology (NRNB),Implementation of a Python Library for GraphSpace RESTful APIs
Tah Teche Tende,eam Community,Implementation of a RabbitMQ Plugin for BarrelDB
Abhinav Gauniyal,2PSP.org,Implementation of a REST WebService for the P2PSP media sources
Rémi Coudert,cala,Implementation of concurrent java library for Scala Native
Shivang Bharadwaj,orldBrain - Verifying the Internet with Science,Implementation of Continuous Integration Pipeline and a Testing Suite for WorldBrain
nchronas,owRISC,Implementation of core lock step in the lowRISC SoC for use in cubesats.
Dilpreet Singh,OSSASIA,Implementation of frontend for eventyay
Szymon Mieszczak,ymPy,Implementation of multiple types of coordinate systems for vectors
ngrj93,imacode,Implementation of Probability and Learning sections of AIMA4E branch
Radoslav Georgiev,eph,Implementation of RBD diff verification using a rolling checksum algorithm
rubencm,hpBB Forum Software,Implementation of storage service
Petra Gospodnetić,ppleseedhq,Implementation of the Improved Many-Light Sampling Algorithm by Nathan Veghdal
tssurya,he ns-3 Network Simulator Project,Implementation of Token Bucket Filter and Heavy-Hitter Filter in ns-3
Tarun Kumar (sucode),OSSASIA,Implementation of webapp to generate customize Meilix Linux Distro
HAN GYEOL OH,itsi,Implementing 'Micro Mode' for Jitsi-Meet-Electron
goncalotomas,eam Community,Implementing a Real World Application in the Lasp Programming Language
Anna Kondratjeva,pertium,Implementing a shallow syntactic function labeller
Arif Ahmed,ymPy,Implementing a SymPy module for Integration of Polynomials over 2/3-Polytopes
Lasith Niroshan,ustainable Computing Research Group ( SCoRe ),Implementing an Android application for controlling Drones (DronePilot)
Mihai Bujanca,penCV,Implementing and extending DynamicFusion (Newcombe et al 2015)
Manos Pitsidianakis,EMU,Implementing I/O throttling and write notifiers into filter Block Drivers
Zachary Gershkoff,age Mathematical Software System,Implementing matroid classes and plotting improvements
sakshamsaxena,he Processing Foundation,Implementing New Developer Operations and Enhancing Current Ones in p5.js
Gabriele Gemmi,reifunk,Implementing Pop-Routing in OSPF
Rishabh Jain,loudCV,Implementing RESTful web services for EvalAI
Adha Ranjith Kumar,ymPy,Implementing Solvers for SymEngine
Tushar Saini,ozilla,Implementing some of the WebExtension APIs
Charlee Fletterman,NCF,Implementing support for numerical integration with GSL in the Brian simulator
sdk2k17,oston University / XIA,Implementing the Ethernet principal
Afroz Ahamad,OSSASIA,Import of Events into Open Event Orga Server
Alexander Efremov,ono Project,Import Some Synchronization Primitives from CoreRT into Mono
GEORGIOS ATHANASOPOULOS,ono Project,Import System.IO.Pipes.PipeStream from CoreFX
Princu7,OSSASIA,Improve and enhance open-event-webapp
Congxiang Pan,penCV,Improve and Extend the JavaScript Bindings for OpenCV
SHENGXIN QIAN,penCV,Improve Background Subtraction with Aggregated Saliency
VSN Reddy Janga,BDyn,Improve Blendyn
Sebastin Santy,ozilla,Improve bug filing interface for bugzilla.mozilla.org
Hemang Kumar,oala,Improve coala Website and Supporting Tools
C.P. O'Donnell,TEMS Project,Improve Coverage Analysis Tools
Diwakar Moturu,oodle,Improve End-to-End Testing in the Mobile App
Elhamer,haro Consortium,Improve FastTable and extend its possibilities
Felippe Roza,rescobaldi,Improve Frescobaldi Export to MusicXML
Harikrishnan Rajan,-9 Mail,Improve IMAP-related features
Mrinal Dhar,ocket.Chat,Improve implementation of  End-to-End encryption with Signal protocol
Gautam Prajapati,ibreOffice,Improve LibreOffice for Android
Przemysław Leśniak,hapel,Improve LLVM backend for Chapel compiler
Jan Holy,he Eclipse Foundation,Improve PCA functionality in ChemClipse
Grzegorz Araminowicz,ibreOffice,Improve SmartArt import in LibreOffice
kecsap,DE,"Improve stability, testing and bring modern C++ to KStars"
Anishka Gupta,lobal Alliance for Genomics and Health,Improve Structural Variants Support in VCF Validator
Alexandru-Sorin Maxim,oala,Improve the coala CLI
Vishnu Ks,ulip,Improve the on-boarding/new user experience in Zulip
Oshane Bailey,lone Foundation,Improve the Theme Editor UX and Functionality
Nikhita Raghunath,loud Native Computing Foundation (CNCF),Improve Third Party Resources
Vishwesh Jainkuniya,ulip,"Improve, enhance current  React Native app"
Björn Dahlgren,ymPy,Improved code-generation facilities
cdries, project for statistical computing,Improved functionality for higher order comoment estimation in PerformanceAnalytics
Ishu Kalra,BioPortal for Cancer Genomics,Improved genome overview in patient view page.
Utsav Garg,loudCV,Improved layer support and collaboration
Mikko Hursti,lone Foundation,Improved listing customization using Plone Mosaic
Péter Szécsi,LVM Compiler Infrastructure,Improved Loop Execution Modeling in Clang Static Analyzer
Gayan Weerakutti,penMRS,Improved REST API Documentation
Manveer Singh,OSSASIA,Improvement in Susi Web app and it's integration
Ben Barros,age Mathematical Software System,Improvement of Complex Dynamics in Sage
Vladislav Samsonov,penCV,Improvement of the background subtraction algorithm
Darshan Kadu,lender Foundation,Improvement of Vertex Painting
Stalgia Grigg,he Processing Foundation,Improvement to WebGL core for p5.js
Ilkin Safarli,ational Resource for Network Biology (NRNB),Improvements in Tool for Curating Biological Maps in SBGN
Alejandro García Montoro,ERN-HSF,Improvements in vectorization and parallelization of ROOT Math libraries
Aditya Bansal,ulip,Improvements to Development and Testing Infrastructure
Amrit Sreekumar,ikimedia Foundation,Improvements to ProofreadPage Extension and Wikisource
mono,pertium,Improvements to the Apertium Website Interface
Pushkar Pathak,or,Improving Ahmia - Hidden Service Search
Jameson Quinn,he Julia Language,Improving and demonstrating Julia statistical models' MCMC: CrossCat example
Shinya Yoshida,hecker Framework,Improving dataflow framework and analyzers
fiaxh,onversations.im,Improving Dino
Luka G.,SGeo,Improving IstSOS Web API and finalizing IstSOS Javascript Core Library
Tom Bousso,he GNU Project,Improving Kawa's gnu.bytecode using ObjectWeb ASM
Christina Pavlopoulou,pache Software Foundation,Improving Lucene Indexing on Apache VXQuery
rasovica,reifunk,Improving nodewatcher data representation capability
Deven Bansod,hpMyAdmin,Improving phpMyAdmin's Selenium testsuite and Error Reporting Server
K C Pavithira Reddy,lone Foundation,Improving plone.org
Michael Telatynski,atrix.org,Improving Riot (+Analytics) and Matrix Discoverability
tkmru,etasploit,Improving stager payloads especially on non-Windows platforms
Shikhar Jaiswal,ymPy,Improving SymEngine's Python Wrappers and SymPy-SymEngine Integration
Divya Raghunathan,useScore,Improving the Accessibility of MuseScore for Visually Impaired Musicians
Pallavi Gupta,Boss Community,Improving the hawkular android client
Charles Winston,he GNU Project,Improving the Internal Structure of Chords
urathai,NU Octave,Improving the interval package - N-dimensional vectors
Julius Härtl,NOME,Improving the out-of-the-box cloud experience with Nextcloud and GNOME
SophieK,haro Consortium,Improving the VM Profiler
dau,or,Improving unMessage's Code Quality
uajain,NOME,Improving word completion in gnome-builder
Devin Bayly,NCF,In-memory Compression for Neuroscience Applications: Blue-Brain Neuromapp Research & Implementation
krshubham,erkman Klein Center for Internet and Society at Harvard University,Inclusion of new UI features along with third-party integrations
Vaibhav B Sharma,he Java Pathfinder Team,Increasing SPF Performance with Bounded Static Symbolic Execution
Mansimar Kaur,omebrew,Increasing test coverage for Brew
Prathamesh Chavan,it,Incremental Rewrite of git-submodules
MINGQIANG LIANG,loud Native Computing Foundation (CNCF),instrument OpenTracing with go-restful web framework
Bimalkant Lauhny,penSUSE,Integrate callstats.io into Jangouts
NikV,itsi,Integrate transcription into Jitsi Meet
Hao Zhang,loud Native Computing Foundation (CNCF),Integrate Unikernel Runtime
Aniketh Girish,DE,Integrate with share.krita.org
lwei, project for statistical computing,Integrated Oversampling for Time Series Classification
Pradeep Kumar (pkgodara),ocket.Chat,Integrated Personal Email Gateway
Prasanna Patil,ppia Foundation,Integrating and applying machine learning to the code interaction
Thiloshon Nagarajah, project for statistical computing,Integrating biodiversity data curation functionality
Julia Huntenburg,NCF,Integrating CBS Tools in the Nipy community
Yisha,SK Robotics Laboratory,Integrating FCL for collision detection
Niroshan Bandara,SGeo,Integrating istSOS as a data store in MapMint
sathyabandara,BioPortal for Cancer Genomics,Integrating MolecularMatch clinical trials data into cBioPortal
Rodrigo Carvalho,SGeo,Integration of Bikeshare Information into an Open-source Transportation App
Sebastian Pfitzner,he Julia Language,Integration of Documentation facilities into the Juno IDE
Pedro Henrique Penna,ree and Open Source Silicon Foundation,Integration of OpenRISC Linux Port into OpTiMSoC
Sami Ullah,ERN-HSF,Integration of TMVA and OpenML platform
Dharak Tushar Shah,pen Chemistry,Intelligent LC/MS Feature Detection
Jialin Ma, project for statistical computing,Interactive Genome Browser in R
Balázs Dukai, project for statistical computing,Interactive trajectory tool for rpostgisLT
Haoran Yu,ational Resource for Network Biology (NRNB),Interconversion of the SBML and SBGN Modelling Languages using Semantics of Logic
Leonardo Kuffo,pen Genome Informatics,InterMine Registry
Rakesh N Chinta,nternet Archive,Internet Archive GSOC Project Proposal
Guilherme Simas,abLua,Interrupt-based drivers and libraries for Céu-Arduino
Nikhil Abraham,oboComp,Introducing robust code generation techniques in Robocomp
Nadezda Yudina,pen Genome Informatics,iOS InterMine app
Pushkar Sharma,atrobat,iOS: Implementation of missing Bricks and Sensors
Abduqodiri Qurbonzoda,atrobat,iOS: Implementation of missing Bricks and Sensors
Soomin Lee,ideoLAN,iOS: Medialibrary port
Thilanka Munasinghe,IT App Inventor,IoT: Android Things Integration on the MIT App Inventor
Ankit Baruah,penAstronomy,IRIS Data Class
malhar1995,LVM Compiler Infrastructure,ISL Memory Management Using Clang Static Analyzer
rahulworld,SGeo,istSOS-Data analysis and statistical tools suite
Ras-al-Ghul,ython Software Foundation,Italian Mars Society (IMS): Biometric Signal Sensor’s Interface
Abhijith C,ython Software Foundation,Italian Mars Society (IMS): BIOMETRIC SIGNAL SENSOR’s INTERFACE
Vishnu Teja Yalakuntla,ython Software Foundation,Italian Mars Society(IMS): Vision based Terrain Traversability Estimation for Planetary Robots and Astronauts
Trailblazer,ython Software Foundation,Italian Mars Society: Space Weather Monitoring for A Virtual Reality Simulation of A Martian Settlement
Pham Hong Long,he Java Pathfinder Team,Java StarFinder: Symbolic Execution with Separation Logic for Testing and Verifying Heap-manipulating Programs.
Ian-1,he GNU Project,Javascript Backend for Gnu Guile
Mathieu Lirzin,he GNU Project,JavaScript for info-style navigation
Mritunjay Goutam,MU Sphinx,Javascript simulation of the brain’s motor control of vocal tract-GSoC 2017 proposal
Love Mehta,oboComp,Javascript Support
Rishav Agarwal,imacode,Javascript Visualizations for concepts in the book 'Artificial Intelligence: A Modern Approach'
Okan Aşık,deRobot - Universidad Rey Juan Carlos,JdeRobot GSOC'17 Application for Visual HFSM Project
Bastian Wieck,ERN-HSF,Jet Clustering Optimizations in Fads
Jayton,he Java Pathfinder Team,jpf-nas
Rohit Kumar,ozilla,JSON in Sqlite
Stefan Richthofer,ython Software Foundation,"Jython: Develop Windows version of JyNI and ideally support all extensions currently workable on POSIX (e.g. ctypes, NumPy)"
Ong Heng Le,EAMMATES @ National University of Singapore,Keeping PowerPointLabs Well-maintained and Updated
Alice Ferrazzi,entoo Foundation,kernel live patch - automatically check and live patching the Kernel
Ludovico de Nittis,NOME,Keysign: Alternative Key transports
Sumit Madhwani,ython Software Foundation,"Kivy: Plyer, a platform-independent API"
Asil Kaan Bozcuoglu,SK Robotics Laboratory,Knowledge and Learned Model Exchange Between Robotic Agents using openEASE
Nausheen Fatma,Bpedia,Knowledge Base Embeddings for DBpedia
Akshay Jagatap,Bpedia,Knowledge Base Embeddings for DBpedia - Akshay Jagatap
Nipun Arora,ustainable Computing Research Group ( SCoRe ),Kute-Android app-A vehicle pooling solution
Haruka Matsumoto,ono Project,Lambda support in debugger expression evaluator
Vishal Agrawal,MU Sphinx,Large Vocabulary Continuous Speech Recognition using RNNs
littleowen,ed Hen Lab,Large-scale Speaker Recognition System for CNN News
Vibhav Pant,ERN-HSF,"Launching Wagon, a WebAssembly interpreter in Go"
S SINGH,MU Sphinx,"Leaderboard Population, Sorting, and Column Maintenance"
Arunabh Ghosh,ppia Foundation,Learner Dashboard
kv,penCV,Learning compact models for object detection
Ganesh Srinivas,ed Hen Lab,Learning Embeddings for Laughter Categorization
Vivek Pal,apian Search Engine Library,Learning to Rank Click Data Mining
Ayush Pandey-1,apian Search Engine Library,Learning to Rank Stablization
Lashit Jain,oboComp,Learning useful Actions for efficient planning
Maya Rashish,he NetBSD Foundation,LFS cleanup
Saurabh, to read and write GPML files,Kumar
Fanny Monori,penStreetMap,libosmscout: Implementation of an opengl renderer
Florian Roméo,RL-CAD,LibreCAD 3 plugins system
Paul Spooren,reifunk,LibreMesh Attended Sysupgrade
Aditya Dewan,ibreOffice,LibreOffice Online
Andrey Parfenov,ntel Media and Audio for Linux,libxcam Enable a debluring feature with OpenCL Design
Nuvadga Christian Tete,oftware Product Data Exchange (SPDX),License Coverage Grader
Marcos Gutierrez,reifunk,lime-webui: port to LuCI2
Lokesh Jain,age Mathematical Software System,Linear-time Implementation of Modular Decomposition of Undirected and Directed Graphs
Ranvir Singh,boutCode,Live scan server to scan licenses using URL and file uploader
Chinmay Kousik,ozilla,Livelog Proxy
Siddhant Kumar Patel,OSSASIA,Loklak Wok Android app into library and app with search and tweet features
Kavitha E Nair,OSSASIA,Loklak: Track Emojis on Twitter and show them on a map using the loklak API
Alexandros Kazantzidis,erospaceResearch.net,Lone Pseudoranger: orbit position data analysis and interpolation (3d)
Marko Bogdanović,uby on Rails,Long Running Ruby and Rails Benchmarks
Ricardo van Zutphen,he Honeynet Project,Long term analysis
Akshaynath R,abLua,Lua Client for Strava V3 API
Gunpreet Ahuja,"ysters, an Anita Borg Institute community",MACC: User Interface Brushup and Feature Enhancement
Mandar Deshpande,cilab,Machine Learning features in Scilab
Brian Lui,ERN-HSF,Machine Learning Project: Multi-target Regression for Particle Physics
ePirat,ideoLAN,macOS interface redesign
Ján Jančár,ython Software Foundation,Mailman: Encrypted lists
Jatin Dhankhar,ugar Labs,Maintaining ASLO
Utkarsh Anand,he NetBSD Foundation,Make Anita support multiple virtual machine systems
PIERRE KANCIR,rduPilot,Make APMRover2 a reference of generic UGV platform
Athitya Kumar,uby Science Foundation,Make Daru more integratable with modern web frameworks of Ruby
Shekhar Prasad Rajak,uby Science Foundation,Make Daru more ready for integration with modern Web framework - GSoC 2017- Shekhar Prasad Rajak
Lukas Hetzenecker,DE,Make High-DPI awesome
ids1024,icrokernel devroom,Make Redox Self-hosting
Nikhil Gupta,penSUSE,Make the Travel Support Application useful for more organizations
Patrik Hagara,ubes OS,Making Anti Evil Maid protection of Qubes OS resistant against shoulder surfing and video surveillance
Avais Pagarkar,loudCV,Making research more accessible with Origami
Vaibhav Sharma,OSSIE - Australian Open Source Software Innovation and Education,Making the current browser extension more powerful using REST API.
Mridul Nagpal,ublic Lab,Map of Projects
Mohammed Nafees,DE,Marble Indoor Maps
Bernkastel,DE,Marble Material Maps
Vikas Thamizharasan,iSP,Markerless model-based tracker CAD model editor
Leopoldo Catania, project for statistical computing,Markov Switching GARCH models (MSGARCH) in R
Vandit Jain, project for statistical computing,Markovchain package
Siddhartha Gairola,cilab,Matlab MEX-Files management
katiec1029,umFOCUS,Matplotlib Serialization & PythreeJS
Pavan Karthik,ozilla,Matrix Protocol Support for Instantbird.
Nicolas Bonfante,olly Labs,Maximal static expansion for efficient loop parallelization on GPU
Evgeny Zhurko,ython Software Foundation,Maximum Likelihood Estimation for count data
Anthony Maton,ozilla,MDN Documentation Tester WebExtension
Yikai Lu,ideoLAN,Media Workflow rework and a remote UI
Vishwajeet Srivastava,IT App Inventor,Menu Options for App Inventor
Rishabh Madan,ython Software Foundation,Mercurial: Release notes Extension
Konstantinos Katrioplas,he CGAL Project,Mesh and Shape smoothing
Natalia da Silva, project for statistical computing,"metawRite:Meta analysis update package, LSR (Living systematic review)"
Sarvjeet Ghotra,he Julia Language,Middlewares for common web application chores
Ashish Sareen,ozilla,Migrate Balrog’s Admin API to OpenAPI-Specification
Azorpid,ibreOffice,Migrating from legacy Parser to FastParser
Atul Sharma,DE,Migrating to Kirigami (Koko)
SanjayKumarAP,ugar Labs,Mind Math Activity
Partho Sarthi,OSSIE - Australian Open Source Software Innovation and Education,Mind The Word GSoC Proposal
Davinder Singh,Fmpeg,mInterpolate Improvements
Shyam Saini,etfilter project,Missing features in nftables.
Ujjwal Verma,he Honeynet Project,Mitmproxy Core
Matthew Shao,he Honeynet Project,Mitmweb Improve
Hammad Abdullah,MU Sphinx,MLP incorporation in Sphinx
britta-wstnr,ython Software Foundation,MNE-Python: Hilbert beamformer for source reconstruction of neural oscillations
Amit Kanwar,OSSIE - Australian Open Source Software Innovation and Education,Mobile App for Carbon Footprint
Yatna Verma,"ysters, an Anita Borg Institute community",Mobile Application Control Center (MACC)
Rajan Maurya,pache Software Foundation,Mobile Field Officer App on Apache Fineract Version 2.0
Manoj Kumar Rana,he ns-3 Network Simulator Project,Mobile IPv6 Implementation with LTE Support
Naman Dwivedi,ifos Initiative,Mobile Wallet Framework
Abdul Fatir Ansari,omputational Biology @ University of Nebraska-Lincoln,Mobile-Based Blood-Sample Image Analysis(iOS)
Anne Thomas,EcAn Project,Model Benchmarking in PEcAn
shubhsingh594,NCF,model completion dashboard
stargazer180,ideoLAN,Modern Look For VLC Web UI
Markus Beuckelmann,"LiPS, University of Antwerp",Modernizing the Pattern library
Maria Ioanna Spyrakoy,age Mathematical Software System,Modular Decomposition of graphs and digraphs
Krzysztof Płachno,Wiki,More extension repositories
Suthagar Kailayapathy,penMRS,More Metadata Management in AdminUI
arush0311,ozilla,Mozilla Science Lab: science.mozilla.org phase 2
Adhithya Rajagopal,pen Chemistry,MSDK-IO library
romangg,.Org Foundation,Multi buffered Present in XWayland
vstarlinger,erospaceResearch.net,Multi Purpose Ground Station
Palakis,ixxx DJ Software,Multi-broadcasting for Mixxx
An T. Le,nstitute for Artificial Intelligence,Multi-modal Cluttered Scene Analysis in Knowledge Intensive Scenarios
Mykola Dolhyi,nstitute for Artificial Intelligence,Multi-modal cluttered scene analysis in knowledge intensive scenarios
Andrew Kuchev,heckstyle,Multi-thread mode for Java files processing
Prannoy Mupparaju,ed Hen Lab,Multilingual Corpus Pipeline
skrish13,ed Hen Lab,"Multimodal Emotion Detection on Videos using CNN-RNN, 3D Convolutions and Audio features"
donghun lee,ed Hen Lab,Multimodal television show segmentation
varadhya,he GNU Project,Multiple qualities of video (GNU MediaGoblin)
StefanT,DE,Multiple-Instrument View Framework
Armin Krezović,NOME,Mutter Wayland without X11
Borys Tymchenko,obile Robot Programming Toolkit (MRPT),MVSim development
Gerard Farré Gomez,hysical Web Project,My meteorological station
qrqiuren,ython Software Foundation,MyHDL: Fixed-point Compiler
Simone Battaglia,SGeo,NASA WebWorldWind - MarkerCluster Plugin
Hasitha Jayasundara,SO2,Native inbound and connector for IBM MQ 8.0
Harmen Stoppels,he Julia Language,Native Julia implementations of iterative solvers for numerical linear algebra
Yingbo Ma,he Julia Language,Native Julia Solvers for Ordinary Differential Equations Boundary Value Problem: A GSoC proposal
Wazeer Zulfikar, project for statistical computing,Native R API for Tensorflow
Ernestas Kulik,NOME,Nautilus I/O Operation Management Rework
Alexandru Pandelea,NOME,Nautilus: Improve Search
GeekPlux,reifunk,netjsongraph.js: visualization of netjson data
Renato Fabbri,omputational Biology @ University of Nebraska-Lincoln,Network Visualization Layouts
KARTIK NIGHANIA,lpack,Neural Evolution Algorithms on NES games
ahaldar,ed Hen Lab,Neural Network Models to Study Framing and Echo Chambers in News
Enrico Bertino,NU Octave,Neural Networks package: Convolutional Neural Networks
Sumedh Ghaisas,lpack,Neural Turing Machines
Dmitry Sorokin,ERN-HSF,New error control methods for integration of trajectories
Zhang Shiwei,he Julia Language,New Features for Flux.jl
LisGein,obile Robot Programming Toolkit (MRPT),New GUI app to visualize and edit robot-made maps
slietzau,ython Software Foundation,New module for the creation of spectra for TARDIS
Rishi Shah,ERN-HSF,Next generation of CMS data replication system
Coin Lewis-Beck, project for statistical computing,NIMBLE Ecology Package
Rewanth Cool,map Security Scanner,"Nmap Feature Creeping, Optimizing and developing NSE scripts (Vulnerability and Exploitation specialist)"
Vinamra Bhatia,map Security Scanner,NMAP Scripting Engine
Wong Wai Tuck,map Security Scanner,Nmap Scripting Engine—Script Developer (Vulnerability and exploitation specialist)
Evangelos Deirmentzoglou,map Security Scanner,Nmap SSH Support & Ncrack Module Development
Rajika Abeyrathne,ustainable Computing Research Group ( SCoRe ),NodeCloud - unified API for cloud providers
Gobinath Loganathan,SO2,Non-Occurrence of Events for Siddhi Patterns
Lorenz Walthert, project for statistical computing,Noninvasive source code formatting
Rohan Rathi,lender Foundation,Normals Editing Tools
Melvin Mathew,ational Resource for Network Biology (NRNB),Notification system for GraphSpace
Abhijith Anilkumar,he ns-3 Network Simulator Project,ns-3 App Store
Trevor Thompson,eactOS,NTFS Driver Improvements for ReactOS
